frequencies,SPLs,Total,clarities,crests,SBs,CPPs,qdeltas,qcis
47,47,5,0.975187857,1.532366027,-20.47104159,15.36526758,4.023163445,0.388983538
47,49,5,0.977388632,1.508831977,-22.73783024,14.36591543,3.586997299,0.402682043
47,51,6,0.981454497,1.687103643,-23.99351527,17.51698831,2.762905905,0.391605348
47,52,7,0.981986822,1.726748224,-26.32979141,19.43413197,3.824739156,0.437469329
47,53,5,0.978443004,1.63530129,-26.67401139,17.31860883,3.622001817,0.402253042
47,58,23,0.979528168,2.054741421,-29.23742178,21.4663773,8.980269228,0.324697474
47,59,30,0.984344617,1.9834434,-29.87569694,23.53153439,6.687565807,0.318757025
47,60,17,0.982443946,2.114617693,-29.67774192,23.27858179,8.153297207,0.322083579
47,61,6,0.969493834,2.208282026,-29.61371849,26.48194353,8.562793234,0.298904376
47,62,11,0.975705958,2.07072484,-29.22724742,25.50247815,9.419268561,0.372101642
47,63,35,0.984689292,2.190129407,-28.10572173,25.23112949,9.327612762,0.315489637
47,64,5,0.983458649,2.284201289,-27.34962613,26.75956625,10.0509689,0.330484395
47,65,6,0.981268948,2.423998552,-27.59731349,25.85349034,10.03106638,0.336853118
47,66,6,0.968239842,2.326902165,-26.67935669,24.79626303,7.860127103,0.393254828
47,67,6,0.978458521,2.533503723,-27.57440557,27.37358606,8.88398185,0.397798616
47,69,12,0.983167258,2.564939485,-24.81330939,27.26432309,9.55122617,0.39548929
47,71,12,0.967938989,2.736500465,-25.60576355,26.47550494,10.29656134,0.395130298
47,79,12,0.972128182,2.960969173,-13.53980899,27.75381988,9.917049992,0.471403711
48,53,21,0.982981118,1.64779264,-26.47337179,17.34329932,3.674735962,0.425867145
48,54,6,0.984290427,1.90189457,-26.63029001,17.57805777,4.345638615,0.356641929
48,55,6,0.984962479,1.968352966,-28.17354588,18.56900765,6.671671071,0.297938475
48,56,6,0.984308057,2.049420109,-29.39079556,18.2107545,5.149416612,0.266951951
48,58,130,0.982408734,1.943828345,-29.49290288,22.0672294,6.10874453,0.280968108
48,59,41,0.983893776,2.079017297,-29.77733049,23.17835869,6.789792828,0.303660271
48,60,69,0.981841737,1.991121886,-30.09044463,23.32694237,5.400549614,0.295444439
48,61,28,0.977721927,1.97341909,-29.40759231,23.79676324,6.126378133,0.297286967
48,62,6,0.972834299,2.193602603,-28.9912558,26.89224893,8.262685446,0.294455918
48,63,18,0.980097051,2.166465945,-27.47789768,25.47744119,8.333934555,0.330747202
48,64,35,0.984367982,2.075934279,-26.9982221,26.24668796,7.745554937,0.353084588
48,65,6,0.98331395,2.380902544,-25.82462471,26.66258434,8.0582874,0.37973635
48,66,6,0.975206622,2.298023704,-25.8172184,26.01829371,10.05568894,0.33522814
48,69,6,0.977348736,2.684270282,-23.20217669,27.69968648,10.32244469,0.344163194
48,70,28,0.970152274,2.638761888,-24.59039641,25.60520324,9.390952956,0.385203553
48,71,11,0.972605786,2.764194392,-23.34433027,27.799789,10.03397104,0.394073963
48,72,12,0.965072325,2.817644182,-22.11672389,25.64919442,12.1378014,0.415128402
48,73,6,0.975742599,2.853033976,-22.0352773,27.93765616,11.78143092,0.407449189
48,74,6,0.966578885,2.825639694,-20.74352324,27.4798212,12.42544126,0.421339755
48,75,5,0.982220934,2.859169843,-20.08734596,28.96502938,13.17189905,0.423701232
48,76,6,0.9828249,2.812337402,-19.1685781,30.38567918,13.10653766,0.425097758
48,78,18,0.970266637,2.996349889,-15.41399945,29.25387921,11.35346869,0.433257417
48,79,23,0.968213867,3.011076859,-13.96658482,28.93185209,10.19356785,0.456221272
48,80,119,0.972713107,2.927660821,-13.28443809,27.82196551,9.071889739,0.478058241
49,70,7,0.98274215,2.469095523,-24.39077645,26.99617327,9.665226862,0.390540007
49,79,6,0.974571917,3.067909732,-14.33290594,30.99821642,11.18684416,0.435466971
49,80,7,0.971007658,3.171132606,-13.84087142,28.29503941,11.9230907,0.440728983
50,46,3,0.973285535,1.647837157,-18.80017462,16.35989572,4.369724821,0.478594299
50,48,37,0.982859455,1.649157962,-21.5369993,15.94547857,3.173801526,0.499876717
50,49,20,0.983805155,1.660842413,-22.23343427,16.04422477,2.330238414,0.507656371
50,50,27,0.984762313,1.719111828,-23.5406244,16.7704735,2.4251569,0.493426374
50,51,20,0.987102551,1.725438147,-24.30265222,17.41631214,1.849408541,0.492894722
50,52,26,0.986566852,1.779449558,-25.28075923,17.08565637,2.118479264,0.486056514
50,53,35,0.986423435,1.783499758,-26.55842175,17.46532262,4.453500383,0.443295674
50,54,32,0.987142126,1.792281383,-28.03473792,19.48275787,5.676796566,0.432739463
50,55,60,0.987805511,1.83417102,-28.76811902,19.08279266,4.615261322,0.429319843
50,56,21,0.988344211,1.855784315,-29.40949536,18.7969309,2.898167535,0.441552979
50,57,21,0.986415767,2.067837695,-30.43841048,18.98594967,5.265670456,0.35192569
50,58,59,0.984018418,1.934307378,-31.32219568,20.18477906,5.595446908,0.329656775
50,59,66,0.979756051,1.96940735,-31.51761407,21.86382183,5.077350547,0.336901181
50,60,113,0.98326466,2.186332384,-31.85752862,23.21448822,6.885753788,0.288285154
50,61,27,0.986243654,2.102901915,-31.51346108,23.4992865,6.349741347,0.304590198
50,62,33,0.985852711,2.155656999,-32.41478885,23.67417776,7.024787426,0.294833842
