MIDI,dB,Total,Clarity,Crest,SpecBal,CPP,Entropy,dEGGmax,Qcontact,Icontact,HRFegg,maxCluster,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,maxCPhon,cPhon 1,cPhon 2,cPhon 3,cPhon 4,cPhon 5,cPhon 6
47,47,5,0.975187857,1.532366027,-20.47104159,5.365267578,4.30346,4.023163445,0.388983538,0.14137,-12.40882,5,0,0,0,0,1,6,0,0,0,0,0,1
47,49,5,0.977388632,1.508831977,-22.73783024,4.365915431,9.6018,3.586997299,0.402682043,0.15655,-34.79023,5,0,0,0,0,4,6,0,0,0,0,0,4
47,51,6,0.981454497,1.687103643,-23.99351527,7.51698831,4.28644,2.762905905,0.391605348,0.05511,-20.11445,5,0,0,0,0,1,6,0,0,0,0,0,1
47,52,7,0.981986822,1.726748224,-26.32979141,9.434131971,2.80882,3.824739156,0.437469329,0.07701,-4.84524,3,0,0,1,0,1,3,0,0,1,0,1,0
47,53,5,0.978443004,1.63530129,-26.67401139,7.318608826,3.608,3.622001817,0.402253042,0.04443,-22.09489,5,0,0,0,0,4,6,0,0,0,0,0,4
47,58,23,0.979528168,2.054741421,-29.23742178,11.4663773,1.67383,8.980269228,0.324697474,0.09178,-5.50386,3,0,0,1,0,1,3,0,0,1,0,1,0
47,59,30,0.984344617,1.9834434,-29.87569694,13.53153439,5.81231,6.687565807,0.318757025,0.35931,-19.6863,5,0,0,0,0,1,6,0,0,0,0,0,1
47,60,17,0.982443946,2.114617693,-29.67774192,13.27858179,4.06932,8.153297207,0.322083579,0.06767,-29.69677,5,0,0,0,0,6,6,0,0,0,0,0,6
47,61,6,0.969493834,2.208282026,-29.61371849,16.48194353,8.35389,8.562793234,0.298904376,0.03663,-34.82013,5,0,0,0,0,1,6,0,0,0,0,0,1
47,62,11,0.975705958,2.07072484,-29.22724742,15.50247815,1.54415,9.419268561,0.372101642,0.09608,-5.75307,5,0,0,0,0,1,3,0,0,1,0,0,0
47,63,35,0.984689292,2.190129407,-28.10572173,15.23112949,5.95982,9.327612762,0.315489637,0.09732,-24.77486,5,0,0,0,0,12,6,0,0,0,0,0,12
47,64,5,0.983458649,2.284201289,-27.34962613,16.75956625,1.65968,10.0509689,0.330484395,0.04777,-15.6377,5,0,0,0,0,4,6,0,0,0,0,0,4
47,65,6,0.981268948,2.423998552,-27.59731349,15.85349034,6.6335,10.03106638,0.336853118,0.05536,-31.10886,5,0,0,0,0,4,6,0,0,0,0,0,4
47,66,6,0.968239842,2.326902165,-26.67935669,14.79626303,6.22886,7.860127103,0.393254828,0.02952,-38.27382,5,0,0,0,0,6,6,0,0,0,0,0,6
47,67,6,0.978458521,2.533503723,-27.57440557,17.37358606,5.91606,8.88398185,0.397798616,0.0941,-30.96569,5,0,0,0,0,8,6,0,0,0,0,0,8
47,69,12,0.983167258,2.564939485,-24.81330939,17.26432309,3.50491,9.55122617,0.39548929,0.13228,-32.95603,5,0,0,0,0,5,6,0,0,0,0,0,5
47,71,12,0.967938989,2.736500465,-25.60576355,16.47550494,6.29543,10.29656134,0.395130298,0.05135,-27.08399,5,0,0,0,0,26,6,0,0,0,0,0,26
47,79,12,0.972128182,2.960969173,-13.53980899,17.75381988,6.42113,9.917049992,0.471403711,0.07386,-10.70961,3,0,0,4,0,2,6,0,0,0,0,0,6
48,53,21,0.982981118,1.64779264,-26.47337179,7.343299318,7.17956,3.674735962,0.425867145,0.074,-29.89161,5,0,0,0,0,8,6,0,0,0,0,0,8
48,54,6,0.984290427,1.90189457,-26.63029001,7.578057768,6.80574,4.345638615,0.356641929,0.02771,-32.54888,5,0,0,0,0,1,6,0,0,0,0,0,1
48,55,6,0.984962479,1.968352966,-28.17354588,8.569007648,9.19738,6.671671071,0.297938475,0.03613,-42.78599,5,0,0,0,0,2,6,0,0,0,0,0,2
48,56,6,0.984308057,2.049420109,-29.39079556,8.210754496,0.48295,5.149416612,0.266951951,0.0954,-5.36209,3,0,0,1,0,1,3,0,0,2,0,0,0
48,58,130,0.982408734,1.943828345,-29.49290288,12.0672294,5.2104,6.10874453,0.280968108,0.0502,-25.47402,5,0,0,0,0,15,6,0,0,0,0,0,15
48,59,41,0.983893776,2.079017297,-29.77733049,13.17835869,7.14804,6.789792828,0.303660271,0.19762,-26.45233,5,0,0,0,0,2,6,0,0,0,0,0,2
48,60,69,0.981841737,1.991121886,-30.09044463,13.32694237,4.16572,5.400549614,0.295444439,0.05509,-18.75954,5,0,0,4,0,5,6,0,0,0,0,0,9
48,61,28,0.977721927,1.97341909,-29.40759231,13.79676324,6.28207,6.126378133,0.297286967,0.04259,-26.95036,5,0,0,0,0,15,6,0,0,0,0,0,15
48,62,6,0.972834299,2.193602603,-28.9912558,16.89224893,8.31446,8.262685446,0.294455918,0.03324,-41.15609,5,0,0,0,0,8,6,0,0,0,0,0,8
48,63,18,0.980097051,2.166465945,-27.47789768,15.47744119,7.19683,8.333934555,0.330747202,0.02661,-40.72445,5,0,0,0,0,8,6,0,0,0,0,0,8
48,64,35,0.984367982,2.075934279,-26.9982221,16.24668796,5.52533,7.745554937,0.353084588,0.07812,-36.8254,5,0,0,0,0,5,6,0,0,0,0,0,5
48,65,6,0.98331395,2.380902544,-25.82462471,16.66258434,1.24537,8.0582874,0.37973635,0.11315,-5.72623,3,0,0,1,0,1,3,0,0,2,0,0,0
48,66,6,0.975206622,2.298023704,-25.8172184,16.01829371,1.55442,10.05568894,0.33522814,0.08657,-7.75812,5,0,0,0,0,5,3,0,0,4,0,0,1
48,69,6,0.977348736,2.684270282,-23.20217669,17.69968648,6.30698,10.32244469,0.344163194,0.08425,-32.38181,5,0,0,2,2,35,6,0,0,0,0,2,37
48,70,28,0.970152274,2.638761888,-24.59039641,15.60520324,5.62825,9.390952956,0.385203553,0.12011,-24.33744,5,0,0,0,0,3,6,0,0,0,0,0,3
48,71,11,0.972605786,2.764194392,-23.34433027,17.799789,6.12667,10.03397104,0.394073963,0.06633,-21.66052,5,0,0,2,0,11,6,0,0,0,0,0,13
48,72,12,0.965072325,2.817644182,-22.11672389,15.64919442,5.48819,12.1378014,0.415128402,0.01065,-25.96265,5,0,0,0,0,17,6,0,0,0,0,0,17
48,73,6,0.975742599,2.853033976,-22.0352773,17.93765616,3.99399,11.78143092,0.407449189,0.02716,-42.46001,5,0,0,0,0,5,6,0,0,0,0,0,5
48,74,6,0.966578885,2.825639694,-20.74352324,17.4798212,8.24159,12.42544126,0.421339755,0.06643,-38.21487,5,0,0,0,0,23,6,0,0,0,0,0,23
48,75,5,0.982220934,2.859169843,-20.08734596,18.96502938,6.20458,13.17189905,0.423701232,0.05223,-36.38093,5,0,0,0,0,3,6,0,0,0,0,0,3
48,76,6,0.9828249,2.812337402,-19.1685781,20.38567918,1.09423,13.10653766,0.425097758,0.14872,-6.72976,3,0,0,3,0,2,3,0,0,4,0,1,0
48,78,18,0.970266637,2.996349889,-15.41399945,19.25387921,2.7799,11.35346869,0.433257417,0.02982,-17.91518,5,0,0,0,0,4,6,0,0,0,0,0,4
48,79,23,0.968213867,3.011076859,-13.96658482,18.93185209,5.61889,10.19356785,0.456221272,0.05914,-28.54711,5,0,0,0,0,18,6,0,0,0,0,0,18
48,80,119,0.972713107,2.927660821,-13.28443809,17.82196551,3.27348,9.071889739,0.478058241,0.01352,-19.7088,5,0,0,0,0,2,6,0,0,0,0,0,2
49,70,7,0.98274215,2.469095523,-24.39077645,16.99617327,6.0536,9.665226862,0.390540007,0.04626,-18.10679,5,0,0,3,0,9,6,0,0,0,0,0,12
49,79,6,0.974571917,3.067909732,-14.33290594,20.99821642,5.17863,11.18684416,0.435466971,0.00746,-25.43996,5,0,0,0,0,38,6,0,0,0,0,0,38
49,80,7,0.971007658,3.171132606,-13.84087142,18.29503941,4.01786,11.9230907,0.440728983,0.00461,-24.66414,5,0,0,0,0,3,6,0,0,0,0,0,3
50,46,3,0.973285535,1.647837157,-18.80017462,6.35989572,4.71053,4.369724821,0.478594299,0.02375,-40.52127,5,0,0,0,0,1,6,0,0,0,0,0,1
50,48,37,0.982859455,1.649157962,-21.5369993,5.945478567,6.86519,3.173801526,0.499876717,0.04545,-38.17986,5,0,0,0,0,11,6,0,0,0,0,0,11
50,49,20,0.983805155,1.660842413,-22.23343427,6.044224773,5.92978,2.330238414,0.507656371,0.17011,8.01745,1,1,0,0,0,0,6,0,0,0,0,0,1
50,50,27,0.984762313,1.719111828,-23.5406244,6.770473495,5.33883,2.4251569,0.493426374,0.0648,-37.19371,5,0,0,0,0,3,6,0,0,0,0,0,3
50,51,20,0.987102551,1.725438147,-24.30265222,7.416312137,2.51955,1.849408541,0.492894722,0.12067,-7.22056,3,0,0,1,0,1,5,0,0,0,0,1,1
50,52,26,0.986566852,1.779449558,-25.28075923,7.085656373,2.50151,2.118479264,0.486056514,0.04669,-16.6662,5,0,0,0,0,5,6,0,0,0,0,0,5
