MIDI,dB,Total,Clarity,Crest,SpecBal,CPP,Entropy,dEGGmax,Qcontact,Icontact,HRFegg,maxCluster,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,maxCPhon,cPhon 1,cPhon 2,cPhon 3,cPhon 4,cPhon 5,cPhon 6
47,47,17,0.975187857,1.546199682,-20.47104159,15.36526758,4.30346,2.487032949,0.465613341,0.14137,-12.40882,5,0,0,0,0,1,6,0,0,0,0,0,1
47,49,16,0.977388632,1.532869738,-22.73783024,14.36591543,9.6018,2.075566704,0.454619727,0.15655,-34.79023,5,0,0,0,0,4,6,0,0,0,0,0,4
47,51,15,0.981454497,1.728340676,-23.99351527,17.51698831,4.28644,1.889471583,0.42469436,0.05511,-20.11445,5,0,0,0,0,1,6,0,0,0,0,0,1
47,52,36,0.981986822,1.546703619,-26.32979141,19.43413197,2.80882,2.22882463,0.469313216,0.07701,-4.84524,3,0,0,1,0,1,3,0,0,1,0,1,0
47,53,19,0.978443004,1.488821972,-26.67401139,17.31860883,3.608,1.808714575,0.484132672,0.04443,-22.09489,5,0,0,0,0,4,6,0,0,0,0,0,4
47,58,53,0.979528168,1.866989367,-29.23742178,21.4663773,1.67383,3.811078533,0.543798341,0.09178,-5.50386,3,0,0,1,0,1,3,0,0,1,0,1,0
47,59,63,0.984344617,1.810203744,-29.87569694,23.53153439,5.81231,4.648011921,0.506013555,0.35931,-19.6863,5,0,0,0,0,1,6,0,0,0,0,0,1
47,60,40,0.982443946,1.884483473,-29.67774192,23.27858179,4.06932,5.408261669,0.491628048,0.06767,-29.69677,5,0,0,0,0,6,6,0,0,0,0,0,6
47,61,16,0.969493834,1.820203637,-29.61371849,26.48194353,8.35389,5.576453186,0.513352333,0.03663,-34.82013,5,0,0,0,0,1,6,0,0,0,0,0,1
47,62,25,0.975705958,1.889108254,-29.22724742,25.50247815,1.54415,3.231311859,0.609615056,0.09608,-5.75307,5,0,0,0,0,1,3,0,0,1,0,0,0
47,63,76,0.984689292,1.940218372,-28.10572173,25.23112949,5.95982,5.945454748,0.580632456,0.09732,-24.77486,5,0,0,0,0,12,6,0,0,0,0,0,12
47,64,11,0.983458649,2.035086451,-27.34962613,26.75956625,1.65968,8.440647628,0.585808697,0.04777,-15.6377,5,0,0,0,0,4,6,0,0,0,0,0,4
47,65,14,0.981268948,2.161351951,-27.59731349,25.85349034,6.6335,6.345606813,0.613153867,0.05536,-31.10886,5,0,0,0,0,4,6,0,0,0,0,0,4
47,66,7,0.968239842,2.276806818,-26.67935669,24.79626303,6.22886,7.184406746,0.387999294,0.02952,-38.27382,5,0,0,0,0,6,6,0,0,0,0,0,6
47,67,10,0.978458521,2.226031444,-27.57440557,27.37358606,5.91606,6.134537726,0.359769526,0.0941,-30.96569,5,0,0,0,0,8,6,0,0,0,0,0,8
47,69,15,0.983167258,2.419669702,-24.81330939,27.26432309,3.50491,7.955025541,0.374017201,0.13228,-32.95603,5,0,0,0,0,5,6,0,0,0,0,0,5
47,71,20,0.967938989,2.622891535,-25.60576355,26.47550494,6.29543,8.229399295,0.459739462,0.05135,-27.08399,5,0,0,0,0,26,6,0,0,0,0,0,26
47,79,15,0.972128182,2.751648866,-13.53980899,27.75381988,6.42113,8.195425513,0.461760416,0.07386,-10.70961,3,0,0,4,0,2,6,0,0,0,0,0,6
48,53,73,0.982981118,1.539247904,-26.47337179,17.34329932,7.17956,2.008191789,0.462895962,0.074,-29.89161,5,0,0,0,0,8,6,0,0,0,0,0,8
48,54,16,0.984290427,1.648974376,-26.63029001,17.57805777,6.80574,1.853995677,0.431878619,0.02771,-32.54888,5,0,0,0,0,1,6,0,0,0,0,0,1
48,55,14,0.984962479,1.746670273,-28.17354588,18.56900765,9.19738,3.073812764,0.388980835,0.03613,-42.78599,5,0,0,0,0,2,6,0,0,0,0,0,2
48,56,14,0.984308057,1.906172759,-29.39079556,18.2107545,0.48295,3.120285737,0.388250052,0.0954,-5.36209,3,0,0,1,0,1,3,0,0,2,0,0,0
48,58,329,0.982408734,1.793846997,-29.49290288,22.0672294,5.2104,3.332733639,0.509246895,0.0502,-25.47402,5,0,0,0,0,15,6,0,0,0,0,0,15
48,59,91,0.983893776,1.878664901,-29.77733049,23.17835869,7.14804,3.910284782,0.504318836,0.19762,-26.45233,5,0,0,0,0,2,6,0,0,0,0,0,2
48,60,164,0.981841737,1.774168815,-30.09044463,23.32694237,4.16572,3.606659639,0.463899044,0.05509,-18.75954,5,0,0,4,0,5,6,0,0,0,0,0,9
48,61,68,0.977721927,1.8210036,-29.40759231,23.79676324,6.28207,3.372287909,0.472745337,0.04259,-26.95036,5,0,0,0,0,15,6,0,0,0,0,0,15
48,62,15,0.972834299,1.842126897,-28.9912558,26.89224893,8.31446,6.166272465,0.548276447,0.03324,-41.15609,5,0,0,0,0,8,6,0,0,0,0,0,8
48,63,39,0.980097051,1.873490164,-27.47789768,25.47744119,7.19683,5.368340203,0.498390343,0.02661,-40.72445,5,0,0,0,0,8,6,0,0,0,0,0,8
48,64,62,0.984367982,1.839530101,-26.9982221,26.24668796,5.52533,5.535930332,0.393878075,0.07812,-36.8254,5,0,0,0,0,5,6,0,0,0,0,0,5
48,65,9,0.98331395,2.172669233,-25.82462471,26.66258434,1.24537,5.830265285,0.38576533,0.11315,-5.72623,3,0,0,1,0,1,3,0,0,2,0,0,0
