frequencies,SPLs,Total,clarities,crests,SBs,CPPs,qdeltas,qcis
30,40,1132,0.483889,1.88039,-32.2981,19.77,5.48583,0.408191
30,41,10,0.46739,2.15249,-26.5414,23.7362,4.78577,0.266948
30,43,10,0.48519,2.16115,-23.6281,25.4053,4.854,0.273028
30,45,67,0.495476,2.10621,-32.3125,25.5578,6.02886,0.308157
30,46,47,0.495403,2.06701,-32.0644,25.377,4.40586,0.329758
31,40,37,0.477271,1.83167,-32.3074,19.706,4.51276,0.460147
32,40,48,0.48876,2.16683,-31.8278,24.1453,5.84689,0.363961
33,40,16,0.471755,2.27434,-33.9246,21.1212,8.37203,0.39392
34,40,46,0.470497,1.8195,-31.0203,18.243,8.26738,0.435806
35,40,19,0.491563,1.67134,-33.3899,17.4904,2.27512,0.47884
36,40,36,0.493241,1.72867,-34.3108,22.0344,3.02947,0.41941
37,40,7,0.494347,2.69984,-30.8068,25.7454,7.80319,0.257882
38,40,11,0.497314,1.58103,-37.0859,20.205,8.60609,0.347127
39,40,43,0.471625,2.02665,-32.6725,20.6427,8.70184,0.38553
39,41,9,0.489891,2.04843,-32.9928,22.3388,16.4021,0.466382
40,40,16,0.338518,1.87477,-21.7758,17.0559,5.49744,0.467177
40,41,13,0.488202,1.92759,-33.1484,22.1546,2.91356,0.422326
41,40,64,0.493577,1.72238,-33.4634,19.024,3.93957,0.409928
41,46,10,0.496678,2.07277,-31.2418,26.3068,4.62182,0.33453
42,40,20,0.495521,1.68683,-31.8865,17.5106,1.84716,0.500259
43,40,21,0.487019,1.78505,-28.1113,19.4288,4.31755,0.412235
44,40,52,0.403685,2.12333,-24.3647,19.3328,11.6803,0.427099
45,40,15,0.401213,1.9787,-25.3182,19.4443,10.8571,0.41817
46,40,7,0.490623,2.19107,-34.2106,22.1004,8.41231,0.227108
47,40,264,0.484477,2.1585,-29.4717,24.1925,8.65503,0.341466
47,41,6,0.479928,2.31277,-24.3213,26.3981,10.1124,0.336721
47,42,18,0.485014,2.58308,-25.7082,26.5495,9.3927,0.396641
47,43,40,0.482469,2.61652,-24.9605,25.5067,8.91926,0.385633
47,44,41,0.470973,2.65693,-25.0267,25.3773,9.5231,0.393471
47,45,35,0.466165,2.69539,-23.8029,25.1192,9.86398,0.409646
47,46,6,0.481992,2.85422,-22.2672,24.071,11.552,0.413218
47,47,18,0.48028,2.76902,-22.5554,26.9308,10.3432,0.425781
47,48,6,0.418738,2.70034,-22.0584,21.0268,7.13548,0.461479
47,49,17,0.484806,2.8367,-19.4322,27.9315,10.8404,0.439616
47,50,12,0.470037,2.78144,-17.6892,26.9693,10.584,0.446948
47,51,23,0.452638,2.88853,-16.1602,25.4158,11.0556,0.460122
47,52,59,0.473527,2.96926,-14.579,27.5191,10.3422,0.454763
47,53,212,0.480244,2.93903,-13.1112,27.5348,9.21385,0.479521
47,54,41,0.465438,2.90291,-11.9307,26.9722,8.84057,0.502111
48,40,53,0.487249,1.9484,-31.2837,21.3329,7.96601,0.330459
48,44,6,0.483015,2.81127,-22.7161,27.5422,11.0786,0.367591
48,45,6,0.457249,2.52448,-26.8243,22.2864,9.54363,0.407717
48,46,11,0.497643,2.11315,-33.8183,25.1553,4.18802,0.336537
48,50,6,0.453653,2.79875,-16.3987,23.5879,8.37337,0.471524
48,52,12,0.476042,2.95675,-15.6043,28.5512,11.3589,0.425753
48,53,6,0.477978,2.98263,-14.6144,26.2292,11.779,0.440157
49,40,39,0.484162,1.99042,-30.8382,22.2931,7.15219,0.349178
50,40,270,0.482782,1.91318,-31.1089,21.2264,5.79359,0.318026
51,40,276,0.486239,2.03968,-29.7101,20.6402,5.40552,0.383356
51,41,58,0.49059,2.5595,-25.3795,26.9029,10.3544,0.314525
51,42,7,0.490941,2.65507,-25.9891,27.0931,9.09592,0.30114
51,43,7,0.484826,2.54116,-21.7495,26.5361,11.2652,0.405131
51,44,38,0.474898,2.3493,-22.6131,25.3179,10.9575,0.37708
51,45,14,0.491502,2.49896,-22.6891,28.335,10.9026,0.368008
51,46,8,0.491903,2.48016,-21.4521,30.5326,11.1813,0.407837
51,47,14,0.492181,2.53708,-21.5621,28.0509,11.5793,0.395868
51,48,23,0.486343,2.66411,-21.5756,28.6726,12.1965,0.433187
51,49,22,0.4904,2.56444,-20.8983,28.6278,13.5002,0.407315
51,50,14,0.493648,2.63766,-19.9166,29.9238,13.1096,0.398505
51,51,8,0.493888,2.76126,-19.6709,31.7034,12.9332,0.40137
51,52,29,0.478701,2.86333,-18.7044,28.0081,12.8236,0.422183
51,53,22,0.479983,2.89099,-17.702,29.4249,11.6709,0.439078
51,54,30,0.473737,2.83305,-16.2503,29.1685,12.8447,0.439383
51,55,37,0.488537,2.96473,-15.7112,30.9895,13.6745,0.444228
51,56,38,0.49045,3.03531,-14.8759,30.4288,14.0714,0.449837
51,57,52,0.487232,3.11681,-14.1822,30.1753,13.6979,0.461117
51,58,82,0.479707,3.07009,-14.1873,28.6819,9.42626,0.467454
51,59,111,0.480991,3.07773,-12.5258,27.6525,7.93534,0.475073
52,40,319,0.487954,2.16903,-29.9489,22.222,5.32226,0.384672
52,41,102,0.488856,2.47964,-31.7491,24.8293,5.16088,0.323023
52,42,7,0.487956,2.3953,-27.1006,23.629,8.60188,0.402607
52,43,55,0.487645,2.30425,-27.2229,24.883,7.5635,0.404001
52,44,32,0.483409,2.36761,-24.546,25.5161,7.7756,0.405282
52,45,8,0.495252,2.49608,-24.7566,28.0008,5.04706,0.335339
52,46,22,0.491657,2.42517,-24.4721,26.9466,7.99548,0.38929
52,47,39,0.491664,2.42137,-23.2286,28.0475,9.01606,0.39933
52,48,23,0.478512,2.49778,-21.5953,26.7689,11.6696,0.433804
52,49,23,0.477925,2.62067,-20.0584,27.0299,11.7017,0.434705
52,50,24,0.46085,2.62389,-19.6471,25.4636,12.3616,0.435307
52,51,8,0.48869,2.34564,-20.5997,27.9859,10.3585,0.412101
52,52,24,0.488653,2.45253,-21.0906,30.1605,11.9096,0.443665
52,53,39,0.48314,2.44117,-21.8053,28.7961,12.7802,0.442161
52,54,23,0.489034,2.53279,-20.7069,29.5154,13.0467,0.454868
52,55,15,0.494012,2.56,-20.4258,30.7815,13.2878,0.46694
52,56,78,0.492002,2.6155,-18.7042,30.8278,13.4819,0.461968
52,57,100,0.48486,2.81571,-16.2902,29.7142,11.826,0.478772
52,58,102,0.483642,2.77815,-16.2533,29.8073,10.6604,0.481313
52,59,164,0.488043,2.72046,-16.6864,29.5839,9.21588,0.491047
52,60,78,0.486942,2.68112,-16.1813,29.2669,7.77084,0.495404
53,40,112,0.490479,2.00366,-32.4936,20.7574,4.97176,0.375123
53,60,8,0.486472,2.6603,-15.9145,28.6856,8.16755,0.496062
54,40,201,0.491611,2.09368,-33.7204,21.1738,6.94181,0.317142
54,42,7,0.493326,2.61263,-22.4977,28.8343,12.1369,0.403039
55,40,411,0.481407,1.92842,-29.6354,20.6625,5.39484,0.398988
55,41,7,0.492858,2.46388,-28.3305,26.3264,9.73544,0.331984
55,42,20,0.492452,2.35195,-24.9471,26.9277,9.52268,0.361839
55,43,32,0.492433,2.28447,-24.3058,26.6285,9.11865,0.369141
55,45,14,0.481321,2.68488,-24.2234,26.6837,12.1069,0.391789
55,51,13,0.459651,2.97385,-16.5712,27.3818,13.7227,0.403588
55,53,19,0.488415,3.12929,-13.8731,30.6976,11.8161,0.438831
