MIDI;dB;Total;Clarity;Crest;SpecBal;CPP;Entropy;dEGGmax;Qcontact;Icontact;HRFegg;maxCluster;Cluster 1;Cluster 2;Cluster 3;Cluster 4;Cluster 5;maxCPhon;cPhon 1;cPhon 2;cPhon 3;cPhon 4;cPhon 5
30;40;1132;0.483889;1.88039;-32.2981;19.77;0;5.48583;0.408191;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;41;10;0.46739;2.15249;-26.5414;23.7362;0;4.78577;0.266948;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;43;10;0.48519;2.16115;-23.6281;25.4053;0;4.854;0.273028;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;45;67;0.495476;2.10621;-32.3125;25.5578;0;6.02886;0.308157;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;46;47;0.495403;2.06701;-32.0644;25.377;0;4.40586;0.329758;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31;40;37;0.477271;1.83167;-32.3074;19.706;0;4.51276;0.460147;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32;40;48;0.48876;2.16683;-31.8278;24.1453;0;5.84689;0.363961;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33;40;16;0.471755;2.27434;-33.9246;21.1212;0;8.37203;0.39392;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34;40;46;0.470497;1.8195;-31.0203;18.243;0;8.26738;0.435806;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35;40;19;0.491563;1.67134;-33.3899;17.4904;0;2.27512;0.47884;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36;40;36;0.493241;1.72867;-34.3108;22.0344;0;3.02947;0.41941;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37;40;7;0.494347;2.69984;-30.8068;25.7454;0;7.80319;0.257882;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38;40;11;0.497314;1.58103;-37.0859;20.205;0;8.60609;0.347127;0;0;0;0;0;0;0;0;0;0;0;0;0;0
39;40;43;0.471625;2.02665;-32.6725;20.6427;0;8.70184;0.38553;0;0;0;0;0;0;0;0;0;0;0;0;0;0
39;41;9;0.489891;2.04843;-32.9928;22.3388;0;16.4021;0.466382;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40;40;16;0.338518;1.87477;-21.7758;17.0559;0;5.49744;0.467177;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40;41;13;0.488202;1.92759;-33.1484;22.1546;0;2.91356;0.422326;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;40;64;0.493577;1.72238;-33.4634;19.024;0;3.93957;0.409928;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;46;10;0.496678;2.07277;-31.2418;26.3068;0;4.62182;0.33453;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42;40;20;0.495521;1.68683;-31.8865;17.5106;0;1.84716;0.500259;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43;40;21;0.487019;1.78505;-28.1113;19.4288;0;4.31755;0.412235;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44;40;52;0.403685;2.12333;-24.3647;19.3328;0;11.6803;0.427099;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45;40;15;0.401213;1.9787;-25.3182;19.4443;0;10.8571;0.41817;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46;40;7;0.490623;2.19107;-34.2106;22.1004;0;8.41231;0.227108;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;40;264;0.484477;2.1585;-29.4717;24.1925;0;8.65503;0.341466;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;41;6;0.479928;2.31277;-24.3213;26.3981;0;10.1124;0.336721;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;42;18;0.485014;2.58308;-25.7082;26.5495;0;9.3927;0.396641;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;43;40;0.482469;2.61652;-24.9605;25.5067;0;8.91926;0.385633;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;44;41;0.470973;2.65693;-25.0267;25.3773;0;9.5231;0.393471;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;45;35;0.466165;2.69539;-23.8029;25.1192;0;9.86398;0.409646;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;46;6;0.481992;2.85422;-22.2672;24.071;0;11.552;0.413218;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;47;18;0.48028;2.76902;-22.5554;26.9308;0;10.3432;0.425781;0.20204;-5.03964;1;2;0;0;0;0;4;0;0;0;2;0
47;48;6;0.418738;2.70034;-22.0584;21.0268;0;7.13548;0.461479;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;49;17;0.484806;2.8367;-19.4322;27.9315;0;10.8404;0.439616;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;50;12;0.470037;2.78144;-17.6892;26.9693;0;10.584;0.446948;0.19005;-6.24515;1;5;0;0;0;0;4;0;0;0;5;0
47;51;23;0.452638;2.88853;-16.1602;25.4158;0;11.0556;0.460122;0.18772;-6.89083;1;5;0;0;0;0;4;0;0;0;5;0
47;52;59;0.473527;2.96926;-14.579;27.5191;0;10.3422;0.454763;0.16695;-5.73434;1;2;0;0;0;0;4;0;0;0;2;0
47;53;212;0.480244;2.93903;-13.1112;27.5348;0;9.21385;0.479521;0.17693;-5.76941;1;1;0;0;0;0;4;0;0;0;1;0
47;54;41;0.465438;2.90291;-11.9307;26.9722;0;8.84057;0.502111;0.17384;-5.58185;1;3;0;0;0;0;4;0;0;0;3;0
48;40;53;0.487249;1.9484;-31.2837;21.3329;0;7.96601;0.330459;0;0;0;0;0;0;0;0;0;0;0;0;0;0
48;44;6;0.483015;2.81127;-22.7161;27.5422;0;11.0786;0.367591;0;0;0;0;0;0;0;0;0;0;0;0;0;0
48;45;6;0.457249;2.52448;-26.8243;22.2864;0;9.54363;0.407717;0.19799;-6.23271;1;1;0;0;0;0;4;0;0;0;1;0
