MIDI;dB
30;40
30;41
30;43
30;45
30;46
31;40
32;40
33;40
34;40
35;40
36;40
37;40
38;40
39;40
39;41
40;40
40;41
41;40
41;46
42;40
43;40
44;40
45;40
46;40
47;40
47;41
47;42
47;43
47;44
47;45
47;46
47;48
47;49
48;40
48;44
49;40
50;40
51;40
51;41
51;42
51;43
51;44
51;45
51;46
51;47
51;48
51;49
51;51
51;52
51;53
51;54
52;40
52;41
52;42
52;43
52;44
53;40
54;40
54;42
55;40
55;41
55;42
55;43
55;45
56;40
56;41
56;42
56;43
56;44
56;45
56;46
56;47
56;50
56;51
56;52
56;53
56;54
56;55
56;56
56;57
56;58
57;40
57;42
57;43
57;46
58;40
59;40
59;43
59;46
59;47
59;48
59;49
59;50
59;51
60;40
60;41
60;42
60;43
60;44
61;40
61;41
61;42
61;43
61;44
61;45
61;46
62;40
62;41
62;42
62;43
62;44
62;45
62;46
62;47
62;48
62;50
62;51
62;52
62;53
62;54
62;55
62;56
62;57
62;58
62;59
62;60
62;61
62;62
63;40
63;42
63;44
63;46
63;47
63;48
63;49
63;50
63;51
63;52
63;53
63;56
63;57
63;60
63;61
63;62
64;41
64;42
64;43
64;44
64;45
64;55
65;40
65;43
65;47
65;51
66;40
66;43
66;44
66;46
66;51
67;43
67;45
67;47
67;51
67;62
68;45
68;48
68;49
68;50
68;51
68;52
68;58
69;50
69;52
69;53
69;54
69;55
69;56
69;57
69;58
69;60
69;61
69;62
69;63
69;64
69;68
70;52
70;55
70;56
70;57
70;58
70;59
70;60
70;61
70;62
70;63
70;65
70;66
70;67
70;68
